
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server
  2026-05-18 21:21:06 /build/assets/wayfinder-BzVrPs20.js .......... ~ 0.29ms
  2026-05-18 21:21:06 /build/assets/setup-D9wRgeBX.js .............. ~ 0.43ms
  2026-05-18 21:21:06 /build/assets/label-6rIVHme-.js .............. ~ 0.56ms
  2026-05-18 21:21:06 /build/assets/password-input-Dznm1OER.js ..... ~ 0.05ms
  2026-05-18 21:21:06 /build/assets/input-error-DHxN4pRG.js ........ ~ 0.12ms
  2026-05-18 21:21:06 /build/assets/spinner-BndnXMwk.js ............ ~ 0.33ms
  2026-05-18 21:21:06 /build/assets/loader-circle-CyUoU6Jr.js ...... ~ 0.45ms
  2026-05-18 21:21:50 / ............................................ ~ 0.27ms
  2026-05-18 21:21:50 /setup ....................................... ~ 0.06ms
  2026-05-18 21:21:50 /build/assets/app-2F8C9h0l.css ............... ~ 0.16ms
  2026-05-18 21:21:50 /build/assets/dist-B7FiFQNU.js ............... ~ 0.16ms
  2026-05-18 21:21:50 /build/assets/app-DwndY7BJ.js ................ ~ 0.62ms
  2026-05-18 21:21:50 /build/assets/button-BnY6FpaQ.js ............. ~ 0.95ms
  2026-05-18 21:21:50 /build/assets/utils-DJzYoSQ7.js .............. ~ 1.25ms
  2026-05-18 21:21:50 /build/assets/es2015-CF0CX6Js.js ............. ~ 1.62ms
  2026-05-18 21:21:50 /build/assets/jsx-runtime-ir_6mnqC.js ........ ~ 2.04ms
  2026-05-18 21:21:50 /build/assets/dist-B3tsUb2-.js ............... ~ 0.11ms
  2026-05-18 21:21:50 /build/assets/createLucideIcon-CHbaUKu-.js ... ~ 0.48ms
  2026-05-18 21:21:50 /build/assets/wayfinder-BzVrPs20.js .......... ~ 0.61ms
  2026-05-18 21:21:50 /build/assets/setup-D9wRgeBX.js .............. ~ 0.88ms
  2026-05-18 21:21:50 /build/assets/label-6rIVHme-.js .............. ~ 1.47ms
  2026-05-18 21:21:50 /build/assets/password-input-Dznm1OER.js ..... ~ 1.53ms
  2026-05-18 21:21:50 /build/assets/input-error-DHxN4pRG.js ........ ~ 0.80ms
  2026-05-18 21:21:50 /build/assets/spinner-BndnXMwk.js ............ ~ 1.37ms
  2026-05-18 21:21:50 /build/assets/loader-circle-CyUoU6Jr.js ...... ~ 1.41ms
  2026-05-18 21:22:29 /setup ....................................... ~ 0.16ms
  2026-05-18 21:22:29 /build/assets/app-2F8C9h0l.css ............... ~ 0.04ms
  2026-05-18 21:22:29 /build/assets/app-DwndY7BJ.js ................ ~ 0.08ms
  2026-05-18 21:22:29 /build/assets/dist-B7FiFQNU.js ............... ~ 0.22ms
  2026-05-18 21:22:29 /build/assets/button-BnY6FpaQ.js ............. ~ 0.45ms
  2026-05-18 21:22:29 /build/assets/jsx-runtime-ir_6mnqC.js ........ ~ 0.61ms
  2026-05-18 21:22:29 /build/assets/utils-DJzYoSQ7.js .............. ~ 0.78ms
  2026-05-18 21:22:29 /build/assets/es2015-CF0CX6Js.js ............. ~ 0.93ms
  2026-05-18 21:22:29 /build/assets/dist-B3tsUb2-.js ............... ~ 0.06ms
  2026-05-18 21:22:29 /build/assets/createLucideIcon-CHbaUKu-.js ... ~ 0.25ms
  2026-05-18 21:22:29 /build/assets/wayfinder-BzVrPs20.js .......... ~ 0.33ms
  2026-05-18 21:22:29 /build/assets/setup-D9wRgeBX.js .............. ~ 0.76ms
  2026-05-18 21:22:29 /build/assets/label-6rIVHme-.js .............. ~ 0.90ms
  2026-05-18 21:22:29 /build/assets/password-input-Dznm1OER.js ..... ~ 0.06ms
  2026-05-18 21:22:29 /build/assets/input-error-DHxN4pRG.js ........ ~ 0.20ms
  2026-05-18 21:22:29 /build/assets/spinner-BndnXMwk.js ............ ~ 0.30ms
  2026-05-18 21:22:29 /build/assets/loader-circle-CyUoU6Jr.js ...... ~ 0.41ms
